id,title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language,production_countries,production_companies
13194,Highlander: The Search for Vengeance,0,0,7.1,115,2007-06-05,86,"Action, Animation, Fantasy, Science Fiction",en,"['Hong Kong', 'Japan', 'United States of America']","Imagi Animation Studios, Madhouse"
2062,Ratatouille,150000000,623726000,7.8,16900,2007-06-21,111,"Animation, Comedy, Family, Fantasy",en,['United States of America'],"Pixar, Walt Disney Pictures"
2270,Stardust,70000000,137500000,7.275,3992,2007-08-09,127,"Adventure, Fantasy, Romance, Family",en,"['Iceland', 'United Kingdom', 'United States of America']","Paramount Pictures, Marv, Vaughn Productions, di Bonaventura Pictures, Ingenious Media"
285,Pirates of the Caribbean: At World's End,300000000,961000000,7.26,14179,2007-05-19,169,"Adventure, Fantasy, Action",en,['United States of America'],"Jerry Bruckheimer Films, Second Mate Productions, Walt Disney Pictures"
440,Aliens vs Predator: Requiem,40000000,130290885,5.2,2869,2007-12-25,94,"Fantasy, Action, Science Fiction, Thriller, Horror",en,['United States of America'],"Dune Entertainment, Davis Entertainment, 20th Century Fox, Brandywine Productions"
13186,Wrong Turn 2: Dead End,4000000,0,6.1,1364,2007-08-25,96,"Horror, Thriller",en,"['Germany', 'United States of America']","20th Century Fox, Summit Entertainment, Constantin Film"
14324,Virgin Territory,38000000,5410749,4.8,311,2007-12-17,93,"Adventure, Action, Comedy, Romance",en,"['Luxembourg', 'Italy', 'France', 'United Kingdom']","Zephyr Films, Carthago Films, The De Laurentiis Company, DDL Cinematografica, Red Lion, Ingenious Media"
559,Spider-Man 3,258000000,894983373,6.4,13969,2007-05-01,139,"Action, Adventure, Science Fiction",en,['United States of America'],"Laura Ziskin Productions, Marvel Studios, Columbia Pictures"
2268,The Golden Compass,180000000,372200000,6.1,4467,2007-12-04,113,"Adventure, Fantasy",en,"['United Kingdom', 'United States of America']","Depth of Field, New Line Cinema, Scholastic Productions, Ingenious Media"
810,Shrek the Third,160000000,813367380,6.299,8909,2007-05-17,93,"Fantasy, Adventure, Animation, Comedy, Family",en,['United States of America'],"DreamWorks Animation, Pacific Data Images"
23202,Trick 'r Treat,12000000,27909,6.985,1814,2007-12-09,82,"Horror, Comedy",en,['United States of America'],"Legendary Pictures, Bad Hat Harry Productions, Little Sam Films, Warner Bros. Pictures"
2082,Halloween,15000000,80460948,6.213,2312,2007-08-31,110,Horror,en,['United States of America'],"Dimension Films, Nightfall Productions, Spectacle Entertainment Group, Trancas International Films"
2310,Beowulf,70000000,195735876,5.898,2785,2007-11-05,115,"Adventure, Action, Animation",en,['United States of America'],"Shangri-La Entertainment, ImageMovers, Warner Bros. Pictures, Paramount Pictures"
35,The Simpsons Movie,75000000,527068851,7.012,7905,2007-07-25,87,"Animation, Comedy, Family",en,['United States of America'],"Gracie Films, 20th Century Fox"
1265,Bridge to Terabithia,60000000,137587063,7.312,4729,2007-02-15,96,"Adventure, Drama, Family",en,['United States of America'],"Lauren Levine Productions Inc., Walden Media, Hal Lieberman Company, Walt Disney Pictures"
6977,No Country for Old Men,25000000,171627166,7.9,11870,2007-06-13,122,"Crime, Drama, Thriller",en,['United States of America'],"Miramax, Paramount Vantage, Scott Rudin Productions, Mike Zoss Productions"
2312,In the Name of the King: A Dungeon Siege Tale,60000000,13097915,4.7,824,2007-11-29,127,"Adventure, Fantasy, Action, Drama",en,"['Canada', 'Germany', 'United States of America']","Boll Kino Beteiligungs GmbH & Co. KG, Brightlight Pictures, Herold Productions"
8363,Superbad,20000000,170800000,7.252,7210,2007-03-20,113,Comedy,en,['United States of America'],"Columbia Pictures, Apatow Productions"
6479,I Am Legend,150000000,585410052,7.2,15570,2007-12-12,101,"Drama, Science Fiction, Thriller",en,['United States of America'],"Warner Bros. Pictures, Village Roadshow Pictures, Weed Road Pictures, Overbrook Entertainment, Heyday Films, Original Film"
5174,Rush Hour 3,140000000,258097122,6.5,3243,2007-08-08,90,"Action, Comedy, Crime",en,['United States of America'],"New Line Cinema, Roger Birnbaum Productions, Arthur Sarkissian Productions, Unlike Film Productions"
1267,Meet the Robinsons,150000000,169332978,6.9,2810,2007-03-23,95,"Animation, Comedy, Family",en,['United States of America'],"Walt Disney Pictures, Walt Disney Animation Studios"
2196,Death at a Funeral,9000000,46789413,6.9,1700,2007-08-17,90,"Comedy, Drama",en,"['Germany', 'United Kingdom', 'United States of America']","Target Media Entertainment, VIP 2 Medienfonds, VIP 1 Medienfonds, Parabolic Pictures, Sidney Kimmel Entertainment, Metro-Goldwyn-Mayer, Mandate International, Stable Way Entertainment"
6477,Alvin and the Chipmunks,60000000,361366633,5.8,4390,2007-12-13,92,"Comedy, Family, Fantasy, Animation",en,['United States of America'],"Fox 2000 Pictures, Regency Enterprises, Bagdasarian Productions, Dune Entertainment, 20th Century Fox"
1250,Ghost Rider,110000000,228738393,5.575,5853,2007-01-15,114,"Thriller, Action, Fantasy",en,['United States of America'],"Crystal Sky Pictures, Relativity Media, Columbia Pictures, Marvel Studios, Canarsie"
7485,Shooter,61000000,95700000,7.1,4847,2007-03-22,124,"Drama, Action, Thriller",en,"['Canada', 'United States of America']","Paramount Pictures, di Bonaventura Pictures, Grosvenor Park Impact Productions"
23827,Paranormal Activity,215000,193355800,6.003,4954,2007-09-14,86,"Horror, Mystery",en,['United States of America'],"Blumhouse Productions, Solana Films"
2274,The Seeker: The Dark Is Rising,45000000,31852619,5.5,409,2007-10-05,94,"Adventure, Drama, Fantasy, Family, Thriller",en,['United States of America'],"Marc Platt Productions, Walden Media, 20th Century Fox"
14001,Dead Silence,20000000,22217407,6.4,2209,2007-03-16,89,Horror,en,['United States of America'],"Evolution Entertainment, Universal Pictures, Twisted Pictures"
1271,300,65000000,456082343,7.2,13566,2007-03-07,116,"Action, Adventure, War",en,"['United Kingdom', 'United States of America']","Virtual Studios, Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Nimar Studios, Warner Bros. Pictures, Cruel & Unusual Films"
8277,American Pie Presents: Beta House,10000000,18610260,5.7,1864,2007-12-26,89,Comedy,en,"['United States of America', 'Canada']","Rogue Pictures, Neo Art & Logic"
25565,Transformers: Beginnings,0,0,6.9,263,2007-10-16,22,"Animation, Action, Thriller, Science Fiction",en,['United States of America'],DreamWorks Home Entertainment
9757,Norbit,10000000,159814490,5.7,2351,2007-02-08,102,Comedy,en,['United States of America'],"Tollin/Robbins Productions, Davis Entertainment, DreamWorks Pictures, Eddie Murphy Productions"
5559,Bee Movie,150000000,287594577,6.0,4797,2007-10-28,91,"Family, Animation, Adventure, Comedy",en,['United States of America'],"Columbus 81 Productions, DreamWorks Animation"
1979,Fantastic Four: Rise of the Silver Surfer,130000000,301913131,5.6,7749,2007-06-13,92,"Science Fiction, Adventure, Action",en,"['Germany', 'United Kingdom', 'United States of America']","1492 Pictures, Bernd Eichinger Productions, 20th Century Fox, Constantin Film, Marvel Studios, Ingenious Film Partners"
1620,Hitman,24000000,99965753,6.125,3273,2007-11-21,94,"Action, Thriller, Drama",en,"['France', 'United States of America']","EuropaCorp, Charles Gordon Productions, Adrian Askarieh Productions"
1646,Freedom Writers,21000000,43095175,7.9,2157,2007-01-05,123,"Crime, Drama",en,"['Germany', 'United States of America']","Double Feature Films, Jersey Films, Kernos Filmproduktionsgesellschaft & Company"
663,Saw IV,10000000,139352633,6.167,3711,2007-10-25,93,"Horror, Thriller, Crime",en,['United States of America'],"Twisted Pictures, Lionsgate"
4588,"Lust, Caution",15000000,67100000,7.2,684,2007-09-24,158,"Action, Drama, Romance, Thriller",zh,"['China', 'Hong Kong', 'Taiwan', 'United States of America']","River Road Entertainment, Haishang Films, Focus Features, Sil-Metropole Organisation, Shanghai Film Group, Edko Films"
9793,The Hills Have Eyes 2,15000000,37697773,5.5,1416,2007-03-22,90,"Horror, Thriller",en,['United States of America'],"Fox Atomic, Craven-Maddalena Films, Dune Entertainment"
1992,Planet Terror,0,0,6.676,3455,2007-04-06,105,"Horror, Action, Thriller",en,['United States of America'],"Dimension Films, Troublemaker Studios, Rodriguez International Pictures"
2503,The Bourne Ultimatum,70000000,442824138,7.4,7570,2007-08-03,115,"Action, Drama, Mystery, Thriller",en,"['France', 'Germany', 'Spain', 'United States of America']","Universal Pictures, The Kennedy/Marshall Company, Ludlum Entertainment, Motion Picture BETA Produktionsgesellschaft, Bourne Again, KanZaman Services, Peninsula Films, Studio Babelsberg"
2284,Mr. Magorium's Wonder Emporium,65000000,69500000,6.235,1231,2007-11-14,93,"Family, Fantasy, Comedy",en,"['Canada', 'United States of America']","Ontario Media Development Corporation, Mandate Pictures, Walden Media, FilmColony, Gang of Two Productions, Mandate International, 20th Century Fox"
1571,Live Free or Die Hard,110000000,383531464,6.621,5729,2007-06-20,128,"Action, Thriller",en,"['United Kingdom', 'United States of America']","Dune Entertainment, Cheyenne Enterprises, Wintergreen Productions, 20th Century Fox, Ingenious Media"
13885,Sweeney Todd: The Demon Barber of Fleet Street,50000000,152000000,7.183,5797,2007-12-20,116,"Drama, Horror",en,"['United Kingdom', 'United States of America']","DreamWorks Pictures, Warner Bros. Pictures, Parkes/MacDonald Productions, The Zanuck Company, Dombey Street Productions"
16119,Cinderella III: A Twist in Time,0,0,6.5,1232,2007-02-06,74,"Animation, Romance, Family, Fantasy",en,['United States of America'],DisneyToon Studios
7345,There Will Be Blood,25000000,77208711,8.1,6524,2007-12-26,158,Drama,en,['United States of America'],"Paramount Vantage, Miramax, JoAnne Sellar Productions, Ghoulardi Film Company"
10431,War,25000000,40452643,6.3,1724,2007-08-24,103,"Action, Thriller",en,"['United States of America', 'Canada']","Lionsgate, Mosaic Media Group, Fierce Entertainment, Current Entertainment, Rogue Films"
6637,National Treasure: Book of Secrets,130000000,459200000,6.355,5073,2007-12-13,124,"Action, Adventure, Mystery, Thriller",en,['United States of America'],"Walt Disney Pictures, Jerry Bruckheimer Films, Saturn Films, Junction Entertainment, Sparkler Entertainment, NT2 Productions"
13363,The Man from Earth,200000,0,7.6,2446,2007-06-10,87,"Science Fiction, Drama",en,['United States of America'],Falling Sky Entertainment
4982,American Gangster,100000000,266500000,7.6,5335,2007-11-02,157,"Drama, Crime",en,['United States of America'],"Film Rites, Imagine Entertainment, Universal Pictures, Relativity Media, Scott Free Productions"
3563,I Now Pronounce You Chuck & Larry,85000000,187134117,6.0,2292,2007-07-12,115,"Comedy, Romance",en,['United States of America'],"Universal Pictures, Happy Madison Productions"
1691,Hostel: Part II,10200000,35728183,5.838,1987,2007-06-07,93,Horror,en,"['United States of America', 'Czech Republic']","Next Entertainment, Screen Gems, Lionsgate, Raw Nerve, International Production Company"
54318,The Water Horse,40000000,103967384,6.5,1007,2007-12-25,112,"Family, Adventure, Fantasy",en,"['United States of America', 'United Kingdom', 'Australia']","Revolution Studios, Walden Media, Beacon Pictures, Ecosse Films"
4523,Enchanted,85000000,340487652,6.8,5349,2007-11-20,107,"Comedy, Family, Fantasy, Romance",en,['United States of America'],"Walt Disney Pictures, Josephson Entertainment, Andalasia Productions, Right Coast"
5876,The Mist,18000000,57470220,6.927,5125,2007-11-21,126,"Horror, Science Fiction, Thriller",en,['United States of America'],Darkwoods Productions
11199,Wild Hogs,0,253625427,5.962,2256,2007-03-02,100,"Action, Adventure, Comedy",en,['United States of America'],"Touchstone Pictures, Wild Hogs Productions"
21623,Beneath,0,0,5.5,103,2007-08-07,82,"Horror, Mystery, Thriller",en,['United States of America'],"MTV Films, Paramount Classics"
21833,Body Armour,0,0,5.1,20,2007-02-09,90,"Action, Thriller",en,"['Australia', 'Germany', 'Spain', 'United Kingdom', 'United States of America']","Zinc Entertainment Inc., ApolloProMovie & Co. 2. Filmproduktion, Fausto Producciones, Pacific Coast Productions, Skyline Films, Telecinco Cinema, TV3, ICEC"
14624,The Ultimate Gift,0,3438735,7.6,437,2007-03-09,114,"Romance, Drama, Family",en,['United States of America'],"The Ultimate Gift LLC, Dean River Productions, LIFE(n), Stanford Financial Group"
