title,production_countries,revenue,id,genres,vote_count,original_language,imdb_id,release_date,popularity,budget,vote_average,runtime
Deadpool & Wolverine,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1326387384,533535,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",4056,en,tt6263850,2024-07-24,5099.804,200000000,7.7,128
Despicable Me 4,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",953140610,519182,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]",1895,en,tt7510222,2024-06-20,2524.611,100000000,7.142,94
Speak No Evil,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",57652430,1114513,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",524,en,tt27534307,2024-09-11,2281.291,15000000,7.343,110
Wolfs,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,877817,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",383,en,tt14257582,2024-09-20,1693.793,0,6.594,108
The Crow,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",13690814,957452,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",486,en,tt1340094,2024-08-21,1690.146,50000000,5.441,111
The Substance,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",10492678,933260,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",236,en,tt17526714,2024-09-07,1595.704,17500000,7.3,141
Inside Out 2,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1682636477,1022789,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",4167,en,tt22022452,2024-06-11,1561.87,200000000,7.639,97
Joker: Folie à Deux,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",81100000,889737,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",454,en,tt11315808,2024-10-01,1372.519,195000000,5.8,138
Kill 'em All 2,"[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1215162,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",68,en,tt6549510,2024-09-24,1369.344,0,6.956,85
Project Silence,"[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",0,726139,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",112,ko,tt25808194,2024-07-11,1331.711,14750000,6.808,96
The Wild Robot,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",53989150,1184918,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",114,en,tt29623480,2024-09-12,1328.503,78000000,7.961,102
Beetlejuice Beetlejuice,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",374115014,917496,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",810,en,tt2049403,2024-09-04,1105.772,100000000,7.087,105
It Ends with Us,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",334836337,1079091,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",688,en,tt10655524,2024-08-07,1085.011,25000000,7.023,131
Joker,"[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1078958629,475557,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",25324,en,tt7286456,2019-10-01,974.076,55000000,8.2,122
Hijack 1971,"[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",12971962,1147710,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",50,ko,tt31624258,2024-06-21,968.532,0,5.94,100
Bad Boys: Ride or Die,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",402529640,573435,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}]",2115,en,tt4919268,2024-06-05,927.275,100000000,7.535,115
King of Killers,"[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1024127,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",125,en,tt14057604,2023-09-01,923.994,0,6.484,91
Blink Twice,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",43555474,840705,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",578,en,tt14858658,2024-08-21,891.827,20000000,6.763,103
TMZ Presents: The Downfall of Diddy,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1284157,"[{'id': 99, 'name': 'Documentary'}, {'id': 80, 'name': 'Crime'}]",8,en,tt32205145,2024-04-28,789.468,0,5.625,68
IF,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",186240904,639720,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",919,en,tt11152168,2024-05-08,753.332,110000000,7.288,104
Hounds of War,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,949484,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",74,en,tt12972134,2024-08-29,734.631,0,6.453,94
Borderlands,"[{'iso_3166_1': 'LU', 'name': 'Luxembourg'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",30863794,365177,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",648,en,tt4978420,2024-08-07,723.922,115000000,5.888,101
Transformers One,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",71822359,698687,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}]",119,en,tt8864596,2024-09-11,704.262,75000000,7.4,104
Padre no hay más que uno 4: Campanas de boda,"[{'iso_3166_1': 'ES', 'name': 'Spain'}]",20271,1030076,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",26,es,tt29871729,2024-07-17,696.084,0,6.096,99
Apartment 7A,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,807339,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",83,en,tt14371860,2024-09-20,633.345,0,5.873,106
Outlaw,"[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",0,1186947,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",71,pt,tt32276312,2024-06-20,588.225,0,5.993,80
Bangkok Breaking: Heaven and Hell,"[{'iso_3166_1': 'TH', 'name': 'Thailand'}]",0,1337309,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",18,th,tt31158592,2024-09-26,574.462,0,6.833,147
Alien: Romulus,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",341521150,945961,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",1123,en,tt18412256,2024-08-13,565.572,80000000,7.049,119
